ASA	Asparagine	Aspartate	betaAlanine	Brix	Citrate	DHA	Erythritol	Fructose	Fucose	GABA	Galacturonate	Glucuronate	Glutamate	Glutamine	Glutarate2oxo	Glycerol3P	Inositol1P	Lysine	Malate	Maltitol	Maltose	Methionine	Nicotinate	Phenylalanine	Proline	Putrescine	Rhamnose	Saccharate	Serine	Sucrose	Threonate	Threonine	Tocopherol	Tyramine	Xylose
1.610322286	0.278796599	0.029911143	0.069110487	10.88333333	0.319884447	0.335064114	-0.155840787	0.854077884	0.196947777	-0.037626935	1.053983697	1.033162856	1.031555903	-0.025959409	0.102688693	-0.015740654	0.228281566	0.285752721	0.248983392	0.276560567	0.388958804	0.6609228	0.206959824	0.088789314	0.210344463	0.309854049	0.714501008	-0.147499506	0.026413372	0.353188714	0.036149755	0.120736125	0.378370464	0.148358172	0.330076892
1.44110804	0.11733749	0.176543177	0.189786047	7.398376068	0.625328486	0.029661185	-0.042090931	0.803190802	-0.021648106	0.22089687	0.077749331	0.080172982	0.666938368	0.133963123	-0.005485986	0.120501339	0.067682681	0.123512786	0.203217806	0.188657874	0.159076459	1.096500025	0.211610778	0.170078871	0.290065555	0.197913932	0.519955869	0.121600176	0.162501572	0.324208253	0.227499148	0.238555681	0.541984783	0.000117407	0.160132913
1.342408118	0.100003579	0.336132629	0.361975894	7.398376068	0.279882916	-0.014073583	-0.223131336	0.545731194	-0.049334122	0.282797361	0.073881091	0.131160495	0.780904351	0.023041002	0.557811534	0.125520139	0.074697116	0.091386613	0.586206562	0.076404918	0.146370132	0.258360504	-0.063352272	0.306103496	-0.035828345	0.021732159	0.334333998	0.203477599	0.338338244	0.298951481	0.347390807	0.270272397	0.574129171	-0.526613866	0.432895529
1.317418334	0.176238604	-0.311879187	0.034189613	5.266666667	0.194412751	-0.202518596	-0.448610783	0.316062059	-0.148795187	0.622065002	0.545861531	0.536864185	0.266751997	-0.060602439	-0.012639694	-0.243226214	-0.154976529	0.007265805	0.421285824	-0.158149842	-0.185289812	0.364343236	-0.324875127	0.097108702	-1.194579065	0.148635272	0.328263154	-0.121559001	0.334496616	-0.541150345	-0.299339145	0.316738941	0.222353953	-0.279625725	0.310320917
1.334387164	0.334558742	0.022268418	0.395652531	6.383333333	0.277421776	-0.219652437	-0.285871088	0.495137951	-0.091284654	0.616274544	0.814799343	0.826301856	0.469114313	0.100677462	0.077456789	-0.23190084	-0.054416338	-0.010303773	0.455319635	-0.115351424	-0.127352057	0.314946759	-0.249249943	0.287507825	-0.629202591	-0.080508556	0.258071233	0.143326204	0.392531293	-0.129792311	0.021332227	0.404724761	0.162945878	-0.432966662	0.215323158
1.439422056	0.024350637	-0.27213585	-0.099493458	6.05	0.482374246	0.032161016	-0.218382153	0.445135078	-0.113743091	-0.043217831	0.552104061	0.45128744	0.186421353	-0.200632096	-0.089065326	-0.249563403	-0.117819664	-0.046401737	0.374306008	-0.233556378	-0.041889627	0.455864498	-0.207238329	-0.119755611	-0.714948707	-0.05943578	0.542192084	-0.144211701	0.161394752	-0.08538462	-0.233309192	0.183918202	0.445763103	-0.184471858	0.265172271
1.478505913	0.284278408	0.021984422	0.351180555	6.55	0.875080029	0.051069461	-0.300885564	0.322792822	-0.028115612	0.156958301	0.612495033	0.649993276	0.788268154	0.083434519	0.238780108	0.087976975	0.0077535	0.19895255	-0.058987157	-0.028967061	-0.11569865	0.610728572	-0.069351538	0.124206206	-0.204200556	0.022559616	0.413473457	0.209452955	0.158961576	-0.040346936	0.018876671	0.189368731	0.544998276	-0.263718813	0.431098925
1.389282408	-0.074188127	-0.20953185	-0.145477006	6.666666667	0.81615253	-0.056614482	-0.234797629	0.615861308	-0.059236232	0.238298151	0.844096694	0.8164057	0.489223504	-0.192481944	-0.158503759	-0.265150266	-0.223857662	-0.150608756	-0.200545035	-0.000586578	-0.015098899	0.132870858	-0.110063817	-0.525588959	-0.768818267	0.005871378	0.729558028	0.098433049	-0.089150245	-0.079126953	-0.168955353	-0.04788213	0.379621226	-0.130102642	0.145898707
1.10893738	0.009450191	-0.0582516	0.023366303	5.2	0.397770791	-0.038521245	-0.249174381	0.554821028	-0.003466035	0.176701565	1.087659878	1.127338509	0.455780244	-0.256390946	-0.264778648	-0.020522949	0.014280473	-0.045758291	-0.101410452	0.017074974	0.047762647	0.279652725	-0.204148156	0.024229657	-0.395891719	0.111631404	0.561827192	-0.141470619	-0.013948726	-0.290397704	-0.011704051	0.057700011	0.61912256	-0.073165634	0.192952
1.340755759	-0.063529819	0.232566426	0.034548009	6.383333333	0.445510407	-0.146587102	-0.137412193	0.436286799	-0.074458061	0.100718123	-0.096362421	0.013788828	0.528526164	-0.072344734	-0.332281055	-0.162977891	-0.03502144	-0.138199287	-0.037218785	-0.061943435	-0.003265192	0.107972108	-0.154580693	0.104750249	-0.456873034	-0.277103842	0.243988851	0.15693601	0.086742554	0.075409107	0.210029859	0.041625065	0.628653678	-0.372951027	0.358011108
